event_id,v_kms,radiant_energy_J
E0000,53.01967057346606,1034335.5122669358
E0001,35.26055730685877,152867.75996028224
E0002,57.50568975530327,313258.2421991469
E0003,48.960505540146286,234016.06974565884
E0004,16.991399438045427,588924.5232520582
E0005,63.707984636748066,4226544.920040781
E0006,52.34040420548871,373652.528548393
E0007,53.66140817967855,1035502.2207453836
E0008,18.79002253180393,7242.063344722941
E0009,35.87045470846506,289084.8141585048
E0010,31.652295284326804,66898.40813884244
E0011,61.11854440897589,33492.65312986171
E0012,46.12485136427522,62730.40716935595
E0013,55.60636550335399,170883.93946016647
E0014,35.50095253784855,1708921.1859861405
E0015,24.043652254593177,27471.718382444356
E0016,41.392993711839246,334584.01938762696
E0017,15.382314573521292,129617.74252452019
E0018,55.86445211560685,172926.48924273794
E0019,45.47821315346944,2005424.240898092
E0020,52.178650224524816,852103.5008561033
E0021,30.789876310883024,3714655.0106942006
E0022,63.44699529292987,237900.55576293363
E0023,59.33541943007648,87749.75461354868
E0024,53.254325344909375,209369.27370520623
E0025,22.315851516154282,494307.7652748536
E0026,36.73621319753281,437782.79208062607
E0027,14.321599586723124,42903.18580514918
E0028,20.177343079580034,373587.0601868955
E0029,48.2015945218501,481484.89166664635
E0030,51.47239426311431,32657221.360361192
E0031,63.27801581901313,10034036.789564077
E0032,29.268743981322054,65675.79212139988
E0033,31.63436441984805,186248.72601772632
E0034,36.886457997617825,21342.55447188753
E0035,22.041982031467143,106520.79249000762
E0036,18.885839782779996,565566.9241904315
E0037,37.21236108997449,2915297.6108430796
E0038,24.026195499696858,82553.01321699354
E0039,47.50014171817305,94772.61149676098
E0040,35.169051700233524,6055.761690002078
E0041,56.13194439106538,234351.24418819562
E0042,49.114050406119205,44675.40214720565
E0043,28.555431993248177,119247.27352773192
E0044,56.109769473945654,62879.832689891045
E0045,54.6525109473305,265821.40956541616
E0046,32.536354088599246,12411.300389073587
E0047,27.281389508302937,21201.364064158308
E0048,48.1722617106737,15973411.857306559
E0049,19.40688163129342,29516.30130289048
E0050,22.595134731180742,41934.5065755782
E0051,12.390200296803291,9322466.312065503
E0052,53.70699200761334,66688927.85284577
E0053,47.2370953993777,36538.16199467757
E0054,49.37376506719576,160472.5798239556
E0055,53.3786386441643,593259.1439449795
E0056,36.322536103532016,7637621.2084461665
E0057,42.143283385503366,51346.912825379695
E0058,19.409240900765845,201269.3867062494
E0059,18.070093897406593,1323945.3568397916
E0060,47.425356974894996,704389.4773767701
E0061,36.96809892558602,158152.1655517928
E0062,41.957513643503006,247139.1953760316
E0063,52.54493944304936,25123.68579305057
E0064,45.64007096003131,203920.55516935405
E0065,41.33970823487378,193593.15962859427
E0066,41.637979519506914,484993.49282970425
E0067,28.109355197318447,113694.1776970818
E0068,13.633345232100789,753756.0621881095
E0069,35.1460216293152,2042549.8012341387
E0070,23.372987659435047,421059.49197689083
E0071,33.65201811740572,604512.2789139075
E0072,57.230362883212806,348758.0799706048
E0073,24.39879275086306,316276.9299171319
E0074,15.090045309520498,83705.41871058996
E0075,26.913346277165815,566494.1238249697
E0076,27.56046916163423,264344.7693053395
E0077,47.081575280525435,14946332.76461383
E0078,41.522704074087756,5736987.742488734
E0079,53.546605082639914,643690.7111582517
E0080,47.20861763735154,77545.07712302725
E0081,33.53850365632374,40744.67166105164
E0082,55.14308038729984,2837359.4808925074
E0083,20.849564755108307,513096.88741801545
E0084,13.203739876094605,765798.8727134246
E0085,16.772536621109012,12715.43465658942
E0086,50.28504558161187,1745624.3255422877
E0087,36.47949320332353,730358.8070288657
E0088,20.547404288780896,40893.61015426446
E0089,38.55537308047827,132672.26820771597
E0090,20.072541443797924,514012.59821413254
E0091,48.904979879120006,348316.0114859776
E0092,35.64628260542363,184613.3280084437
E0093,32.19412498311357,261342.10542764104
E0094,27.980140724837455,198800.7861358613
E0095,45.40497743530109,418841.79262200923
E0096,31.176068359329694,4755471.446837882
E0097,16.645445723753355,2796.8762252760653
E0098,18.25431281238731,204418.30759723228
E0099,62.98057622112427,437733.6536098728
E0100,60.15477660750317,545500.54867916
E0101,49.08447809196973,159392.6660910317
E0102,26.091107957354538,12434.335294038534
E0103,63.366347999429365,578623.9250484064
E0104,53.27379791018711,7618687.694628881
E0105,49.99518002542677,18746.097697241436
E0106,35.8161596136208,1552610.1141587498
E0107,26.42880277779343,172655.2630566409
E0108,17.108720994135464,282449.31338729727
E0109,59.837927016823606,45465.41833271863
E0110,36.156143361181385,170779.2343308421
E0111,22.725258334147206,3467653.3483117474
E0112,28.215701079984584,924962.6442752976
E0113,42.69863715392049,7688635.709061199
E0114,21.36895749577928,2766492.589237396
E0115,57.4005570568959,710017.9743022062
E0116,52.20153508126614,7855025.892358728
E0117,50.13153666539965,709895.66964416
E0118,34.9009311080805,1453418.0233722068
E0119,45.24736855722949,183123.14447968884
E0120,42.95719235237499,357467.57380034117
E0121,46.44186988240546,87510.65638987988
E0122,16.47554902041412,1957343.949371426
E0123,34.03779231504231,36087.52531221188
E0124,14.205551214680302,1336227.0954089332
E0125,38.1815134199595,222576.42062184148
E0126,29.482644253637623,2735254.081632202
E0127,19.659782009900486,1260942.2332934213
E0128,17.480357289295238,9047256.976726567
E0129,43.14516232541874,1215121.633460045
E0130,21.041427332454965,17473.012816891427
E0131,61.03136627397025,279535.8167580022
E0132,42.79624040412094,36508.521534742664
E0133,30.384099640346363,121723.97498132061
E0134,43.31852104851509,5116615.081692453
E0135,13.208605164573967,1023356.7269742747
E0136,62.8036383017966,87268.12743293234
E0137,37.56208215797371,48868.173470146954
E0138,53.48496704426517,335912.12035261415
E0139,16.384689995889243,33631.936974837874
E0140,37.792891534422495,91851.8225416927
E0141,38.00747070078961,561833.430492631
E0142,61.70480211367409,2656131.8459583055
E0143,42.301586775931995,970530.4768789739
E0144,37.09493825601855,4644.814701797995
E0145,26.149710143870358,553979.1036207943
E0146,29.573156859155265,361099.4763107881
E0147,39.59563733099151,677816.6431085542
E0148,35.26230739616747,6208229.245311845
E0149,13.145440233657514,7069.836635428362
E0150,55.793471982300964,106443.0376456713
E0151,59.49652090750764,939128.5818030159
E0152,19.43320171692637,17168.18879273313
E0153,41.363915607569616,4794675.706037391
E0154,17.75451428017851,623283.0121392446
E0155,47.62872493111002,1504067.020623195
E0156,26.90539054346744,110470.18232351853
E0157,46.94939963867079,1415829.4836820085
E0158,50.53071455720478,2263483.040327834
E0159,52.73831707163582,485626.5430692122
E0160,17.71027013566252,486990.7521781914
E0161,60.54862779229322,520324.8784262128
E0162,24.201341517428684,64464.97049215836
E0163,13.982865477337528,240977.81144441437
E0164,41.407180877748615,238771.21757319526
E0165,31.658881044709254,640789.0643130097
E0166,55.978856386017895,1994616.4550333081
E0167,54.837328019408,44995.71262706523
E0168,28.808361319603915,251184.46479742078
E0169,62.50366793869648,4843557.258243412
E0170,27.418645421426287,80376.56034591993
E0171,39.29802784928087,69534.44396789794
E0172,25.566149800082947,459034.10480599606
E0173,61.610309212595055,1497987.372352286
E0174,20.724214331846962,322954.13125810935
E0175,14.380262827793437,3657366.413584381
E0176,35.06014418016101,1532622.4612889644
E0177,64.59590489495936,1490925.8802421794
E0178,59.25889511151044,877593.1021865839
E0179,51.67622503121831,23020909.644613188
E0180,59.21200201656182,216705.85678532897
E0181,59.35267190398675,7891.910771736083
E0182,39.4994931004818,6073002.909863943
E0183,28.74423974703203,136094.4626654708
E0184,52.916658901882364,385748.5972680846
E0185,47.06804694789134,3528909.7194318795
E0186,31.803859630306633,16526.936831391715
E0187,17.00673340726031,31526.969652845935
E0188,51.57984940149838,16556.84756304419
E0189,25.910407343911828,73230.32608202528
E0190,61.6510969782903,710737.5891577362
E0191,24.77144047530129,830520.34223648
E0192,18.50617041780876,526040.6957053109
E0193,56.04897162262002,23430.809488911713
E0194,20.124068781098185,4486.5989533496195
E0195,21.50122033236017,349528.72140820906
E0196,43.76728795060471,132610.88490492266
E0197,58.35178816438562,737069.8003052309
E0198,22.411037282872382,1152292.939917916
E0199,28.447154663705025,407937.04500457464
