event_id,v_kms,radiant_energy_J,E_kin_J,E_kgTNT,E_ktTNT
E0000,53.01967057346606,1034335.5122669358,34772521.7416971,8.310832156237357,8.310832156237358e-06
E0001,35.26055730685877,152867.75996028224,12604181.134457028,3.0124715904534005,3.0124715904534007e-06
E0002,57.50568975530327,313258.2421991469,10465190.61165281,2.5012405859590845,2.501240585959085e-06
E0003,48.960505540146286,234016.06974565884,8025339.510576464,1.9181021774800344,1.9181021774800344e-06
E0004,16.991399438045427,588924.5232520582,192626846.38817134,46.03892122088225,4.6038921220882254e-05
E0005,63.70798463674807,4226544.920040781,140933639.12667522,33.683948166031364,3.368394816603136e-05
E0006,52.34040420548871,373652.528548393,12585566.601737399,3.008022610357887,3.008022610357887e-06
E0007,53.66140817967855,1035502.2207453836,34760122.87678974,8.307868756402902,8.307868756402902e-06
E0008,18.79002253180393,7242.063344722941,2337510.491101836,0.5586784156553145,5.586784156553145e-07
E0009,35.87045470846506,289084.8141585048,21794109.384467736,5.208917156899554,5.208917156899554e-06
E0010,31.652295284326804,66898.40813884244,9580711.006285395,2.289844886779492,2.2898448867794923e-06
E0011,61.11854440897589,33492.65312986171,1117262.8047003143,0.26703221909663344,2.670322190966334e-07
E0012,46.12485136427522,62730.40716935595,2231497.8092726734,0.5333407765948073,5.333407765948072e-07
E0013,55.60636550335399,170883.93946016647,5718548.659730093,1.3667659320578616,1.3667659320578615e-06
E0014,35.50095253784855,1708921.1859861405,135962691.32318825,32.49586312695704,3.249586312695704e-05
E0015,24.043652254593177,27471.71838244436,7920715.9648436215,1.8930965499148236,1.8930965499148235e-06
E0016,41.392993711839246,334584.01938762696,14180502.551333895,3.389221451083627,3.389221451083627e-06
E0017,15.382314573521292,129617.7425245202,42701899.53380997,10.205998932554964,1.0205998932554963e-05
E0018,55.86445211560685,172926.48924273794,5785212.1315664025,1.3826988842175914,1.3826988842175914e-06
E0019,45.47821315346944,2005424.240898092,72291393.77493334,17.278057785595923,1.7278057785595922e-05
E0020,52.178650224524816,852103.5008561033,28715788.590246283,6.863238190785441,6.8632381907854406e-06
E0021,30.789876310883024,3714655.0106942006,600911170.1377786,143.62121657212683,0.00014362121657212682
E0022,63.44699529292987,237900.55576293365,7932989.559067053,1.8960300093372497,1.8960300093372496e-06
E0023,59.33541943007648,87749.75461354868,2928753.696216637,0.6999889331301713,6.999889331301713e-07
E0024,53.254325344909375,209369.27370520623,7034571.931711706,1.6813030429521287,1.6813030429521287e-06
E0025,22.31585151615428,494307.7652748536,150663642.32192656,36.00947474233426,3.6009474742334264e-05
E0026,36.73621319753281,437782.79208062607,29263431.435609706,6.994127972182052,6.994127972182052e-06
E0027,14.321599586723124,42903.18580514918,14179273.402558222,3.3889276774756745,3.3889276774756744e-06
E0028,20.177343079580037,373587.0601868955,118651700.44002284,28.35843700765364,2.835843700765364e-05
E0029,48.2015945218501,481484.8916666464,16629809.764606731,3.9746199246191996,3.9746199246192e-06
E0030,51.47239426311431,32657221.360361192,1103365272.1670613,263.7106291030261,0.00026371062910302614
E0031,63.27801581901313,10034036.789564077,334599719.5447022,79.97125228123856,7.997125228123857e-05
E0032,29.268743981322054,65675.79212139988,12860225.889218548,3.073667755549366,3.0736677555493664e-06
E0033,31.63436441984805,186248.72601772632,26743024.428249136,6.391736240021304,6.391736240021304e-06
E0034,36.88645799761783,21342.55447188753,1398496.2974839665,0.3342486370659576,3.3424863706595755e-07
E0035,22.041982031467143,106520.79249000762,32685836.614309225,7.812102441278496,7.812102441278495e-06
E0036,18.88583978278,565566.9241904315,182379293.89900187,43.589697394598915,4.358969739459892e-05
E0037,37.21236108997449,2915297.61084308,183145955.67269546,43.77293395618916,4.377293395618916e-05
E0038,24.026195499696858,82553.01321699354,23818405.162394907,5.69273545946341,5.69273545946341e-06
E0039,47.50014171817305,94772.61149676098,3299933.343853921,0.7887029980530404,7.887029980530404e-07
E0040,35.169051700233524,6055.761690002078,506198.56395598187,0.12098436041012951,1.2098436041012952e-07
E0041,56.13194439106538,234351.2441881956,7837968.524062745,1.8733194369174822,1.873319436917482e-06
E0042,49.114050406119205,44675.40214720565,1530170.649587468,0.3657195625209054,3.657195625209054e-07
E0043,28.555431993248177,119247.27352773192,25227009.00179547,6.029399857025686,6.029399857025686e-06
E0044,56.10976947394565,62879.832689891045,2103087.4766397118,0.5026499705161835,5.026499705161835e-07
E0045,54.6525109473305,265821.40956541616,8907131.61662853,2.128855548907392,2.1288555489073923e-06
E0046,32.536354088599246,12411.300389073587,1557338.1770176212,0.3722127574133894,3.722127574133894e-07
